Employee_ID,Age,Gender,Department,Job_Role,Education,Education_Field,Monthly_Income,Job_Satisfaction,Years_At_Company,Overtime,Job_Level,Joining_Date,Attrition
EMP1001,59,Male,Research & Development,Manager,PhD,Technical Degree,33770,1,8,Yes,4,2023-11-10,Yes
EMP1002,49,Female,IT,Financial Analyst,Bachelor's,Marketing,36093,1,8,No,3,2022-09-30,Yes
EMP1003,35,Female,Sales,IT Specialist,Master's,Human Resources,156265,3,12,No,3,2021-07-09,No
EMP1004,28,Male,Sales,Data Analyst,PhD,Technical Degree,125311,2,5,No,4,2024-11-27,No
EMP1005,41,Female,Research & Development,Data Analyst,Bachelor's,Finance,42569,3,5,Yes,3,2017-03-08,Yes
EMP1006,59,Male,Research & Development,Research Scientist,Bachelor's,Life Sciences,36190,4,19,Yes,1,2015-12-14,No
EMP1007,39,Female,Finance,HR Specialist,Bachelor's,Life Sciences,87824,1,19,No,3,2015-09-30,No
EMP1008,43,Male,Sales,Research Scientist,Master's,Medical,67070,2,20,No,3,2023-03-30,No
EMP1009,31,Male,Finance,IT Specialist,Master's,Technical Degree,65197,4,2,No,4,2016-12-20,No
EMP1010,31,Male,Sales,Financial Analyst,Master's,Life Sciences,27261,4,16,No,4,2019-11-09,No
EMP1011,44,Female,Finance,Financial Analyst,Bachelor's,Marketing,162788,4,16,No,3,2024-07-17,No
EMP1012,56,Male,Sales,HR Specialist,Master's,Technical Degree,111795,3,11,Yes,2,2021-12-22,No
EMP1013,60,Female,Sales,Data Analyst,PhD,Marketing,53933,1,15,No,4,2023-08-31,Yes
EMP1014,44,Male,Human Resources,Research Scientist,Master's,Marketing,160450,4,14,Yes,5,2016-11-15,No
EMP1015,23,Male,IT,Financial Analyst,PhD,Life Sciences,65583,1,12,No,5,2020-10-27,No
EMP1016,42,Female,IT,IT Specialist,Master's,Technical Degree,137082,3,0,No,1,2016-09-13,No
EMP1017,22,Male,Research & Development,Manager,Master's,Finance,110371,4,16,No,3,2020-08-01,No
EMP1018,44,Male,IT,Sales Executive,Master's,Human Resources,136032,3,2,Yes,2,2024-01-02,No
EMP1019,50,Female,Sales,Sales Executive,Bachelor's,Life Sciences,67604,3,14,Yes,1,2017-08-04,No
